id,created_at,text
1203368376854171648x,2019-12-07 17:39:13,b'this homemade YouTube REWIND is perfect.  Hey @YouTube ! Hire @JayLaw_YT to do next years video - https://t.co/00oK5VqMZm'
1203117511278874624x,2019-12-07 01:02:22,b'@setteBIT Nice one'
1203116297019461632x,2019-12-07 00:57:32,b'@teddibearmusic @YTCreators Yes!   Something YouTube is doing this year.'
1203116016819064833x,2019-12-07 00:56:25,b'@setteBIT Special place'
1203115912464760832x,2019-12-07 00:56:01,b'RT @Norrin_Radd71: This is one of the best @Casey videos ever. Kudos. https://t.co/8b8frZ6rnq'
1203063006671753216x,2019-12-06 21:25:47,b'@CorinnaKopf @AndreMusgrove this picture is \xf0\x9f\x91\x8d'
1203062925411270656x,2019-12-06 21:25:27,b'@andylassner the confused old man thing elicits no sympathy from anyone.'
1203062694598725632x,2019-12-06 21:24:32,"b""@Slade @steveaustinBSR as long as we've known each other you've never told me you know Stone Cold.  really feel lik\xe2\x80\xa6 https://t.co/uPHzRj0rG1"""
1203037937954222083x,2019-12-06 19:46:10,"b'VR is the future, they said https://t.co/vgYApCY3HM'"
1203036388335083520x,2019-12-06 19:40:00,b'RT @AdamSandler: https://t.co/ZRD1FAy0bm'
1203008013516197888x,2019-12-06 17:47:15,b'Ashley Graham is an icon. https://t.co/3XL36GcnKU'
1202998037007626240x,2019-12-06 17:07:37,b'What do you think this means ? https://t.co/AYAwACnZK0'
1202960924375535618x,2019-12-06 14:40:08,"b'RT @CDisillusion: YouTube Rewind has SOME NERVE highlighting a vibrant, diverse crop of objectively well-performing creators in a simple, c\xe2\x80\xa6'"
1202960109401325568x,2019-12-06 14:36:54,b'@candicepool @TimothyDeLaG animal'
1202844779463102464x,2019-12-06 06:58:37,b'RT @QuackityHQ: 2000 was 20 years ago which is really weird because 1980 was also 20 years ago'
1202839090636345344x,2019-12-06 06:36:01,b'love this so much https://t.co/azXp8d5aNq'
1202816798170611713x,2019-12-06 05:07:26,"b'RT @balajis: The more you work out, the easier it is to work out.\n\nThe easier it is to work out, the more you work out.'"
1202800167977508865x,2019-12-06 04:01:21,b'RT @jacksfilms: new vid:\nThe YouTube Rewind you secretly wanted\nhttps://t.co/3LgtYiJgKQ https://t.co/XulOT51vsz'
1202730423555506177x,2019-12-05 23:24:13,b'@usuallyisaac @Patrick58157552 @MarthaVader @KhaledCHamdi @EtihadAirways this convo is so intense.   they gave me t\xe2\x80\xa6 https://t.co/pX5gjlw9WR'
1202720411542118400x,2019-12-05 22:44:26,"b'YouTube comments about my wife from the video I posted today.. oh internet, what would the world be without you? \xe2\x80\x94\xe2\x80\xa6 https://t.co/05DJ9GVKn8'"
1202713594040766464x,2019-12-05 22:17:20,b'where do you keep your loose pieces of chocolate?  Candice keeps hers in pants pocket https://t.co/s3S23otud6'
1202706907233832960x,2019-12-05 21:50:46,b'@rogeliobarreraj @samsheffer @Tesla truth'
1202675510880243712x,2019-12-05 19:46:01,b'@samsheffer @Tesla you know whats not magic?  coming to LA and not even calling me... you know YOU are the one who\xe2\x80\xa6 https://t.co/ZZVTRMwd65'
1202674820242034688x,2019-12-05 19:43:16,"b'@PhillyD ""hello you beautifil buzzerds, im freddy difrako and this is another episode of the news youtube show. now\xe2\x80\xa6 https://t.co/jUqnIeeKBv'"
